k;xk (одинарная точность);x* - xk (одинарная точность);xk (двойная точность);x* - xk (двойная точность);xk (скаляр. произв.); x* - xk (скаляр. произв.)
;9,999993324;6,67572E-06;10;-1,421E-14;9,999986649;1,33514E-05
k;xk (одинарная точность);x* - xk (одинарная точность);xk (двойная точность);x* - xk (двойная точность);xk (скаляр. произв.); x* - xk (скаляр. произв.)
7;0,999992132;7,86781E-06;1;-2,576E-14;0,999989748;1,0252E-05
;1,999989986;1,00136E-05;2;-3,242E-14;1,999987245;1,27554E-05
;2,999990463;9,53674E-06;3;-3,375E-14;2,999987602;1,23978E-05
;3,999989271;1,07288E-05;4;-3,553E-14;3,999986649;1,33514E-05
;4,999990463;9,53674E-06;5;-3,02E-14;4,999988079;1,19209E-05
;5,99998951;1,04904E-05;6;-3,73E-14;5,999986649;1,33514E-05
;6,999989033;1,09673E-05;7;-3,642E-14;6,999985695;1,43051E-05
;7,999989033;1,09673E-05;8;-3,73E-14;7,999986649;1,33514E-05
;8,99998951;1,04904E-05;9;-3,73E-14;8,999986649;1,33514E-05
;9,99998951;1,04904E-05;10;-3,908E-14;9,999986649;1,33514E-05
k;xk (одинарная точность);x* - xk (одинарная точность);xk (двойная точность);x* - xk (двойная точность);xk (скаляр. произв.); x* - xk (скаляр. произв.)
8;0,999992132;7,86781E-06;1;-1,021E-14;0,999989748;1,0252E-05
;1,999989986;1,00136E-05;2;-1,288E-14;1,999987245;1,27554E-05
;2,999990463;9,53674E-06;3;-1,243E-14;2,999987602;1,23978E-05
;3,999989271;1,07288E-05;4;-1,243E-14;3,999986649;1,33514E-05
;4,999990463;9,53674E-06;5;-1,243E-14;4,999988079;1,19209E-05
;5,99998951;1,04904E-05;6;-1,421E-14;5,999986649;1,33514E-05
;6,999989033;1,09673E-05;7;-1,243E-14;6,999985695;1,43051E-05
;7,999989033;1,09673E-05;8;-1,243E-14;7,999986649;1,33514E-05
;8,99998951;1,04904E-05;9;-1,243E-14;8,999986649;1,33514E-05
;9,99998951;1,04904E-05;10;-1,421E-14;9,999986649;1,33514E-05
k;xk (одинарная точность);x* - xk (одинарная точность);xk (двойная точность);x* - xk (двойная точность);xk (скаляр. произв.); x* - xk (скаляр. произв.)
9;0,999992132;7,86781E-06;1;-4E-15;0,999989748;1,0252E-05
;1,999989986;1,00136E-05;2;-4E-15;1,999987245;1,27554E-05
;2,999990463;9,53674E-06;3;-3,55E-15;2,999987602;1,23978E-05
;3,999989271;1,07288E-05;4;-3,55E-15;3,999986649;1,33514E-05
;4,999990463;9,53674E-06;5;-4,44E-15;4,999988079;1,19209E-05
;5,99998951;1,04904E-05;6;-2,66E-15;5,999986649;1,33514E-05
;6,999989033;1,09673E-05;7;-4,44E-15;6,999985695;1,43051E-05
;7,999989033;1,09673E-05;8;-3,55E-15;7,999986649;1,33514E-05
;8,99998951;1,04904E-05;9;-3,55E-15;8,999986649;1,33514E-05
;9,99998951;1,04904E-05;10;-3,55E-15;9,999986649;1,33514E-05
