w;x;x*-x;iterations;cond;
0,91;1;2,71059e-11;2 376;48,0906;
;2;3,47549e-11;;
;3;3,50755e-11;;
;4;3,72822e-11;;
;5;3,74865e-11;;
;6;3,72022e-11;;
;7;3,61853e-11;;
;8;3,47855e-11;;
;9;3,1914e-11;;
;10;3,6982e-11;;
;11;3,66907e-11;;
;12;3,76179e-11;;
w;x;x*-x;iterations;cond;
0,92;1;2,71146e-11;2 350;48,1238;
;2;3,4768e-11;;
;3;3,50888e-11;;
;4;3,72955e-11;;
;5;3,74998e-11;;
;6;3,72147e-11;;
;7;3,61977e-11;;
;8;3,47971e-11;;
;9;3,19247e-11;;
;10;3,69962e-11;;
;11;3,67049e-11;;
;12;3,76286e-11;;
w;x;x*-x;iterations;cond;
0,93;1;2,69914e-11;2 325;48,1176;
;2;3,46085e-11;;
;3;3,49289e-11;;
;4;3,71241e-11;;
;5;3,73275e-11;;
;6;3,70459e-11;;
;7;3,60325e-11;;
;8;3,46381e-11;;
;9;3,1779e-11;;
;10;3,68257e-11;;
;11;3,65343e-11;;
;12;3,74563e-11;;
w;x;x*-x;iterations;cond;
0,94;1;2,70304e-11;2 300;48,1521;
;2;3,46594e-11;;
;3;3,49796e-11;;
;4;3,718e-11;;
;5;3,73834e-11;;
;6;3,70992e-11;;
;7;3,6084e-11;;
;8;3,46878e-11;;
;9;3,18234e-11;;
;10;3,68807e-11;;
;11;3,65894e-11;;
;12;3,75113e-11;;
w;x;x*-x;iterations;cond;
0,95;1;2,69224e-11;2 276;48,0946;
;2;3,45213e-11;;
;3;3,48397e-11;;
;4;3,70308e-11;;
;5;3,72324e-11;;
;6;3,69509e-11;;
;7;3,59401e-11;;
;8;3,4551e-11;;
;9;3,16973e-11;;
;10;3,67333e-11;;
;11;3,6442e-11;;
;12;3,73621e-11;;
w;x;x*-x;iterations;cond;
0,96;1;2,69692e-11;2 252;48,1461;
;2;3,45814e-11;;
;3;3,48996e-11;;
;4;3,70952e-11;;
;5;3,72982e-11;;
;6;3,70148e-11;;
;7;3,60023e-11;;
;8;3,46079e-11;;
;9;3,17542e-11;;
;10;3,67972e-11;;
;11;3,65077e-11;;
;12;3,74261e-11;;
w;x;x*-x;iterations;cond;
0,97;1;2,68602e-11;2 229;48,0502;
;2;3,44407e-11;;
;3;3,47598e-11;;
;4;3,69451e-11;;
;5;3,71481e-11;;
;6;3,68656e-11;;
;7;3,58584e-11;;
;8;3,4472e-11;;
;9;3,16245e-11;;
;10;3,66498e-11;;
;11;3,63585e-11;;
;12;3,72768e-11;;
w;x;x*-x;iterations;cond;
0,98;1;2,68991e-11;2 206;48,1249;
;2;3,44911e-11;;
;3;3,48099e-11;;
;4;3,69997e-11;;
;5;3,72014e-11;;
;6;3,69189e-11;;
;7;3,59091e-11;;
;8;3,45208e-11;;
;9;3,16707e-11;;
;10;3,67013e-11;;
;11;3,64118e-11;;
;12;3,73301e-11;;
w;x;x*-x;iterations;cond;
0,99;1;2,70894e-11;2 183;48,0895;
;2;3,47342e-11;;
;3;3,50555e-11;;
;4;3,72609e-11;;
;5;3,74643e-11;;
;6;3,71809e-11;;
;7;3,6164e-11;;
;8;3,47642e-11;;
;9;3,18927e-11;;
;10;3,69624e-11;;
;11;3,66676e-11;;
;12;3,75948e-11;;
w;x;x*-x;iterations;cond;
1;1;2,71001e-11;2 161;48,1318;
;2;3,47491e-11;;
;3;3,50697e-11;;
;4;3,72742e-11;;
;5;3,74785e-11;;
;6;3,71951e-11;;
;7;3,61755e-11;;
;8;3,47757e-11;;
;9;3,19069e-11;;
;10;3,69749e-11;;
;11;3,66835e-11;;
;12;3,7609e-11;;
