w;x;x*-x;iterations;
0,01;0,830974;-0,830974;10 000;
;1,79419;-1,79419;;
;2,77958;-2,77958;;
;3,77075;-3,77075;;
;4,77605;-4,77605;;
;5,79516;-5,79516;;
;6,79738;-6,79738;;
;7,79419;-7,79419;;
w;x;x*-x;iterations;
0,02;0,992258;-0,992258;10 000;
;1,99057;-1,99057;;
;2,9899;-2,9899;;
;3,9895;-3,9895;;
;4,98974;-4,98974;;
;5,99062;-5,99062;;
;6,99072;-6,99072;;
;7,99057;-7,99057;;
w;x;x*-x;iterations;
0,03;0,999138;-0,999138;9 039;
;1,99895;-1,99895;;
;2,99888;-2,99888;;
;3,99883;-3,99883;;
;4,99886;-4,99886;;
;5,99896;-5,99896;;
;6,99897;-6,99897;;
;7,99895;-7,99895;;
w;x;x*-x;iterations;
0,04;0,999138;-0,999138;6 778;
;1,99895;-1,99895;;
;2,99888;-2,99888;;
;3,99883;-3,99883;;
;4,99886;-4,99886;;
;5,99896;-5,99896;;
;6,99897;-6,99897;;
;7,99895;-7,99895;;
w;x;x*-x;iterations;
0,05;0,999139;-0,999139;5 422;
;1,99895;-1,99895;;
;2,99888;-2,99888;;
;3,99883;-3,99883;;
;4,99886;-4,99886;;
;5,99896;-5,99896;;
;6,99897;-6,99897;;
;7,99895;-7,99895;;
w;x;x*-x;iterations;
0,06;0,999139;-0,999139;4 518;
;1,99895;-1,99895;;
;2,99888;-2,99888;;
;3,99883;-3,99883;;
;4,99886;-4,99886;;
;5,99896;-5,99896;;
;6,99897;-6,99897;;
;7,99895;-7,99895;;
w;x;x*-x;iterations;
0,07;0,999139;-0,999139;3 872;
;1,99895;-1,99895;;
;2,99888;-2,99888;;
;3,99883;-3,99883;;
;4,99886;-4,99886;;
;5,99896;-5,99896;;
;6,99897;-6,99897;;
;7,99895;-7,99895;;
w;x;x*-x;iterations;
0,08;0,999138;-0,999138;3 387;
;1,99895;-1,99895;;
;2,99888;-2,99888;;
;3,99883;-3,99883;;
;4,99886;-4,99886;;
;5,99896;-5,99896;;
;6,99897;-6,99897;;
;7,99895;-7,99895;;
w;x;x*-x;iterations;
0,09;0,999138;-0,999138;3 010;
;1,99895;-1,99895;;
;2,99888;-2,99888;;
;3,99883;-3,99883;;
;4,99886;-4,99886;;
;5,99896;-5,99896;;
;6,99897;-6,99897;;
;7,99895;-7,99895;;
w;x;x*-x;iterations;
0,1;0,999139;-0,999139;2 709;
;1,99895;-1,99895;;
;2,99888;-2,99888;;
;3,99883;-3,99883;;
;4,99886;-4,99886;;
;5,99896;-5,99896;;
;6,99897;-6,99897;;
;7,99895;-7,99895;;
w;x;x*-x;iterations;
0,11;0,999138;-0,999138;2 462;
;1,99895;-1,99895;;
;2,99888;-2,99888;;
;3,99883;-3,99883;;
;4,99886;-4,99886;;
;5,99896;-5,99896;;
;6,99897;-6,99897;;
;7,99895;-7,99895;;
w;x;x*-x;iterations;
0,12;0,99914;-0,99914;2 257;
;1,99895;-1,99895;;
;2,99888;-2,99888;;
;3,99883;-3,99883;;
;4,99886;-4,99886;;
;5,99896;-5,99896;;
;6,99897;-6,99897;;
;7,99895;-7,99895;;
w;x;x*-x;iterations;
0,13;0,999139;-0,999139;2 083;
;1,99895;-1,99895;;
;2,99888;-2,99888;;
;3,99883;-3,99883;;
;4,99886;-4,99886;;
;5,99896;-5,99896;;
;6,99897;-6,99897;;
;7,99895;-7,99895;;
w;x;x*-x;iterations;
0,14;0,99914;-0,99914;1 934;
;1,99895;-1,99895;;
;2,99888;-2,99888;;
;3,99883;-3,99883;;
;4,99886;-4,99886;;
;5,99896;-5,99896;;
;6,99897;-6,99897;;
;7,99895;-7,99895;;
w;x;x*-x;iterations;
0,15;0,99914;-0,99914;1 805;
;1,99895;-1,99895;;
;2,99888;-2,99888;;
;3,99883;-3,99883;;
;4,99886;-4,99886;;
;5,99896;-5,99896;;
;6,99897;-6,99897;;
;7,99895;-7,99895;;
w;x;x*-x;iterations;
0,16;0,999141;-0,999141;1 692;
;1,99895;-1,99895;;
;2,99888;-2,99888;;
;3,99883;-3,99883;;
;4,99886;-4,99886;;
;5,99896;-5,99896;;
;6,99897;-6,99897;;
;7,99895;-7,99895;;
w;x;x*-x;iterations;
0,17;0,99914;-0,99914;1 592;
;1,99895;-1,99895;;
;2,99888;-2,99888;;
;3,99883;-3,99883;;
;4,99886;-4,99886;;
;5,99896;-5,99896;;
;6,99897;-6,99897;;
;7,99895;-7,99895;;
w;x;x*-x;iterations;
0,18;0,999138;-0,999138;1 503;
;1,99895;-1,99895;;
;2,99888;-2,99888;;
;3,99883;-3,99883;;
;4,99886;-4,99886;;
;5,99896;-5,99896;;
;6,99897;-6,99897;;
;7,99895;-7,99895;;
w;x;x*-x;iterations;
0,19;0,99914;-0,99914;1 424;
;1,99895;-1,99895;;
;2,99888;-2,99888;;
;3,99883;-3,99883;;
;4,99886;-4,99886;;
;5,99896;-5,99896;;
;6,99897;-6,99897;;
;7,99895;-7,99895;;
w;x;x*-x;iterations;
0,2;0,999142;-0,999142;1 353;
;1,99896;-1,99896;;
;2,99888;-2,99888;;
;3,99884;-3,99884;;
;4,99886;-4,99886;;
;5,99896;-5,99896;;
;6,99897;-6,99897;;
;7,99896;-7,99896;;
w;x;x*-x;iterations;
0,21;0,99914;-0,99914;1 288;
