k;xk (îäèíàğíàÿ òî÷íîñòü);x* - xk (îäèíàğíàÿ òî÷íîñòü);xk (äâîéíàÿ òî÷íîñòü);x* - xk (äâîéíàÿ òî÷íîñòü);xk (ñêàëÿğ. ïğîèçâ.); x* - xk (ñêàëÿğ. ïğîèçâ.);
9;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-1,03146505355834961;2,03146505355834961;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-1,70130872726440430;3,70130872726440430;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-9,14865493774414063;12,14865493774414063;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);15,66336631774902344;-11,66336631774902344;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);12,91556644439697266;-7,91556644439697266;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-13,50768852233886719;19,50768852233886719;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);27,68142509460449219;-20,68142509460449219;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);3,61436843872070313;4,38563156127929688;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-8,30055236816406250;17,30055236816406250;
k;xk (îäèíàğíàÿ òî÷íîñòü);x* - xk (îäèíàğíàÿ òî÷íîñòü);xk (äâîéíàÿ òî÷íîñòü);x* - xk (äâîéíàÿ òî÷íîñòü);xk (ñêàëÿğ. ïğîèçâ.); x* - xk (ñêàëÿğ. ïğîèçâ.);
10;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);5,10961389541625977;-4,10961389541625977;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-7,47391414642333984;9,47391414642333984;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-4,11847019195556641;7,11847019195556641;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-6,48876380920410156;10,48876380920410156;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);5,52360057830810547;-0,52360057830810547;
